,Id,Name,Location,FollowersCount,FriendsCount,RetweetCount,TweetCount,Score
851,2475833309,🇵🇰🇸🇦,Kuwait,4110.0,2906.0,0,104,9255
855,91328650,KashmirRuS,Jammu And Kashmir PAKISTAN,2553.0,4038.0,0,413,9231
852,883277149817499648,Subhash,,4091.0,2317.0,0,104,9217
854,28987977,Gone Native,"Newish Delhi, India",3576.0,674.0,0,207,9217
857,811212449525465088,Wande Magazine,Kashmir,1567.0,4.0,721,104,9216
861,3521112432,KIIR,"Islamabad, Pakistan",328.0,181.0,927,207,9210
862,1096137283361738752,Mukesh Kumar(Muks)The Indian 🇮🇳,"Dubai, United Arab Emirates",121.0,351.0,1133,104,9208
853,890794387264983040,Saj¡D RaZa,,4086.0,2396.0,0,104,9207
856,1147069105,Vikramaditya Singh,"Jammu & Kashmir, India",4066.0,92.0,0,104,9167
858,1033049704786022401,Hafiz Abdul Rasool,"Punjab, Pakistan",4060.0,4007.0,0,104,9155
859,1037710443454889990,Tariq Mehmood,,4058.0,4999.0,0,104,9151
860,2317358900,मुफ़्त ज्ञान,"Ahmadabad City, India",4056.0,291.0,0,104,9147
863,966225664549556224,🇵🇰,In Your Heart 🖤,4048.0,817.0,0,104,9131
864,83156252,Mine your business lady,Mind your business lady,4043.0,776.0,0,104,9121
865,1019265845300727809,Hamaqatein,,4041.0,4950.0,0,104,9117
866,44834511,Sushil Kumar Patial,Delhi,4028.0,3716.0,0,104,9091
867,4832225493,KCAggarwal,"नई दिल्ली, भारत",3500.0,2404.0,0,207,9065
868,24665440,Rishi Suri,"Delhi, India",3956.0,3180.0,0,104,8947
869,1672309262,🍃लता🍃 🇮🇳,,3946.0,3055.0,0,104,8927
870,903521315407237121,Carloskhan🇵🇰,"Italia,sicilia",3431.0,4854.0,0,207,8927
872,3011154697,विजय तिवारी (जनता की आवाज़ )🇮🇳,🛫Prayagraj🛬Lucknow🛫Vadodara,2710.0,308.0,206,207,8927
871,911883623862648832,😻💖Innocent caт💖😻 ️#TFZ,Japan,3936.0,2036.0,0,104,8907
873,2444622247,connie l nash,,3928.0,4997.0,0,104,8891
874,2600569499,Save Article 35A_370 Save J&K,"Rajouri, Jammu And Kashmir",3404.0,961.0,0,207,8873
875,62349548,Project Pakistan 21,"Islamabad, Pakistan",2322.0,971.0,309,207,8872
876,2953662626,Imran Khan,Peshawar | PAkistan,2369.0,28.0,0,413,8863
879,1051083179233177602,Nationalist Joker ⛳,,1388.0,220.0,721,104,8858
884,77201005,Shuja Mir,Jammu And Kashmir,297.0,257.0,0,825,8839
877,3062732165,Omar🀄️,--,3893.0,458.0,0,104,8821
878,2305349369,UMAKANTA PANDA,"india, Odisha",3893.0,3956.0,0,104,8821
880,3114932688,,,3884.0,51.0,0,104,8803
881,835159844,GHULAM MUSTAFA,Sialkot Pakistan,3883.0,2496.0,0,104,8801
882,781407854569881600,INA फौजी सुमित 🔥,New Delhi,3879.0,71.0,0,104,8793
883,770651374245806080,Rai Sahab 🇮🇳,"New Delhi, India",3872.0,265.0,0,104,8779
886,1400541602,چوہدری عمیر,"Lahore, Pakistan",2823.0,2806.0,0,310,8741
885,892809079952998400,Osama Khan,in heart of someone,3844.0,3903.0,0,104,8723
888,310699318,My PAK My Life,pakistan,1779.0,1670.0,0,516,8713
887,1673394092,Nitisha,New Delhi ,3830.0,533.0,0,104,8695
889,300488885,Patriot,Pakistan,3817.0,1013.0,0,104,8669
895,1039866880406827009,Julee,"Rajasthan, India",249.0,250.0,721,310,8640
890,93150230,Farzana Shah,"Peshawar, Pakistan",3438.0,28.0,103,104,8632
891,1001152301912993797,👑 The Roma Queen 👑,Earth,3784.0,3460.0,0,104,8603
892,1007231278683283456,ANIL SHARMA,"नई दिल्ली, भारत",3774.0,4696.0,0,104,8583
893,906170329474707456,Commando,Shadows,3770.0,3860.0,0,104,8575
894,2925330224,Anup Rathour,India,3768.0,85.0,0,104,8571
896,276176449,Imran Khan PTI,,3759.0,1380.0,0,104,8553
898,848547773440020481,Ramesh dass,,2726.0,1599.0,0,310,8547
897,62051284,Sumeet Joshi,Timbuktu,3749.0,253.0,0,104,8533
899,925220077389123585,Rao,"Multan, Pakistan",2718.0,2540.0,0,310,8531
902,832883405889142785,Mr. Muhammad,World Wide,3017.0,1849.0,206,104,8511
900,953123058549587968,Ilyas#Phdb#UST,,3737.0,1236.0,0,104,8509
901,779275251775516672,Asamanya Vyakti,,3734.0,3383.0,0,104,8503
905,127134715,Saqib Majeed,Kashmir | Chandigarh,1619.0,125.0,309,310,8496
903,824475381277294593,ZaYn🇵🇰(Karachi Kings💙),"Karachi, Pakistan",3723.0,482.0,0,104,8481
907,318966340,Saahil Suhail,"Anantnag, Jammu And Kashmir",1918.0,826.0,515,104,8476
904,226997507,Sunil Kumar,"Laguna Hills, CA",3715.0,1241.0,0,104,8465
906,742132119019921408,مہر توقیر عباس,Kuwait,3708.0,4043.0,0,104,8451
908,1021842461264621568,तृप्ति (हिन्दू शेरनी),राम जन्मभूमि,2972.0,1727.0,206,104,8421
909,887179954307387392,Abdul waheed qadri,Pakistan,3679.0,4685.0,0,104,8393
917,1052464311254347777,Mukesh Kumar,"पेहोवा, भारत",67.0,96.0,0,825,8379
910,239686212,عارف مشتاق,Lahore,3157.0,3070.0,0,207,8379
911,2834374682,True Indian,,3666.0,2493.0,0,104,8367
912,2791752781,Tariq,Islamabad,3665.0,4924.0,0,104,8365
918,2255404279,Anup Pandey,New Delhi,626.0,2999.0,721,207,8364
913,271601289,Omar Baloch,Balochistan,3664.0,707.0,0,104,8363
914,251721395,Narendra Lowanshi 🇮🇳,unknown,3653.0,400.0,0,104,8341
915,852553470,PTC NEWS,"Mohali, India",3648.0,50.0,0,104,8331
919,366672027,Nyla Ali Khan,"Oklahoma, United States",1168.0,107.0,412,310,8315
916,68758682,MeghaSharma,"Noida, India",3637.0,341.0,0,104,8309
920,149109233,SAK,North Star :P ,2239.0,1592.0,103,310,8294
931,2670763158,waseem,,527.0,395.0,0,722,8269
925,481919618,Mohammad Rehman 🇵🇰,"الرياض, المملكة العربية السعود",2583.0,3502.0,0,310,8261
921,2969169408,Rahul Yadav,मोहान164 विधानसभा उन्नाव,3612.0,1024.0,0,104,8259
922,2783066318,Arif Bashir,"Lahore, Pakistan",3611.0,3395.0,0,104,8257
923,882941391575187456,Hariom Dass,"Rohtak, India",3605.0,4958.0,0,104,8245
924,3148472622,Rizwan Zulfiqar,Abu Dhabi United arab Emirates,3603.0,3826.0,0,104,8241
926,2210273923,Lutyens' Rasputin,*I Love Cheap Thrills*,3601.0,795.0,0,104,8237
927,905536651027505152,Raza Marri🇱🇾,Earth,3601.0,2297.0,0,104,8237
928,725579347684409344,Zain,Naya Pakistan,3597.0,3484.0,0,104,8229
929,810998728022691840,🌀Gul Habib Afridi🌀,💞💞💞💞💞💞💞💞,3079.0,2945.0,0,207,8223
930,881604271,avinashrulz,San Jose,3078.0,4875.0,0,207,8221
932,2687079408,Irfan Khan (MultanSultanz),"Multan, Pakistan",3585.0,4965.0,0,104,8205
933,900067082213183488,❤I Love Pakistan ❤,"Islamabad, Pakistan",3567.0,4926.0,0,104,8169
934,94768310,عمران گلیڈیڑ,pind pakistan,3563.0,377.0,0,104,8161
936,742765890735869954,Suraiya Hussain,England,3048.0,1338.0,0,207,8161
935,369123691,نويد أحمد Naveed Ahmad,en route,3560.0,1134.0,0,104,8155
940,977846916942913536,ANH News,भारत,49.0,102.0,412,516,8137
938,463532269,Patriot,Underworld,3023.0,1686.0,0,207,8111
937,292474162,Syed Aoon Sherazi,islamabad,3533.0,548.0,0,104,8101
942,3401954594,"Muhammad imran Rao NA.170,,,PP246 Multan Sultan",Bhawalpur,3004.0,3832.0,0,207,8073
939,3061077542,Tarun Das,"New Delhi, India",3519.0,4734.0,0,104,8073
941,1044955084700946432,HA Azan,,3514.0,2779.0,0,104,8063
943,965463248,Dr.Vinod Jain,Mumbai,3498.0,2500.0,0,104,8031
944,4171197792,सुधीर,भारत,3492.0,3581.0,0,104,8019
945,2361306367,Jayanthi S Vel 🇮🇳,,3478.0,1219.0,0,104,7991
946,976415361926156288,W/ SHAHNAZ LEGHARI,Pakistan,3472.0,2886.0,0,104,7979
947,156525751,Vibhu Sharma विभु शर्मा  విభు శర్మ  விபு சர்ம 🕉,India,3470.0,2799.0,0,104,7975
948,841937574,Sharnoff's Global Views,United States,3467.0,599.0,0,104,7969
955,45177874,praveen kumar🇮🇳,India,1405.0,1485.0,0,516,7965
956,3580499833,Basharat Ali,Jammu And Kashmir ,941.0,181.0,721,104,7964
949,898225628448669697,Sohail Farooquiسہیل,Earth भारत,2949.0,924.0,0,207,7963
954,855989726196707328,Khushboo,"New Delhi, India",2073.0,268.0,103,310,7962
950,81334244,India Blooms,India,2947.0,2435.0,0,207,7959
951,4097231429,ᎷᎧɦαʍʍα∂ Yαᴤɨʀ,پاکستان,3456.0,414.0,0,104,7947
953,104473820,Payal Mehta/પાયલ મેહતા/ पायल मेहता/   পাযেল মেহতা,"Noida, India",3455.0,1246.0,0,104,7945
952,181895564,Lavish Mall,"New Delhi, India",3455.0,3629.0,0,104,7945
958,387054469,Umar Ganie,"Srinagar, India",3067.0,60.0,103,104,7890
957,876324714913902593,DarshanSingh,"Ganaur, India",3426.0,3837.0,0,104,7887
965,1077630953336569856,Amaresh Misra,"Lucknow, Uttar Pradesh",76.0,253.0,515,413,7882
964,184871087,Yogesh Sagotra ✈,"Jammu, Jammu And Kashmir",638.0,318.0,206,516,7873
966,1014979937781145600,Faisal Ashfaq,پاکستان,584.0,374.0,515,310,7868
959,2291633528,GPMA,The Screen Lab,3414.0,4271.0,0,104,7863
960,2601579662,Dr. ANURAG SHARMA,,3412.0,4472.0,0,104,7859
961,81546480,.^.dnan,Karachi,3404.0,2752.0,0,104,7843
962,930027467791667200,Dr Luttapi,,3403.0,371.0,0,104,7841
963,802239358866718720,Rashid Mehmood,"Doha, Qatar",3399.0,2936.0,0,104,7833
969,993673171940225024,Ovain Ali,"Baramula, Jammu And Kashmir",1230.0,1322.0,618,104,7821
973,3018309640,Modi2029🇮🇳,India,301.0,2378.0,0,722,7817
967,905328126623920128,nyra,,3389.0,3051.0,0,104,7813
